word,count,articles
murdered,35,"ukraine-shtetl.txt, east-side-west-side.txt, mary-antin.txt"
relations,35,"what-i-wore-to-the-oscars-2022.txt, mary-antin.txt, cornell-english-caruth.txt"
colonized,35,"birthday.txt, cornell-english-then-and-now.txt, the_pond_once_b.txt"
paragraphs,35,"erasmus-basketball-1951.txt, adelle-waldman-love-affairs-of-nathaniel-p.txt, another-brooklyn-novel-by-daniel-fuchs-homage-to-blenholt-1936.txt"
professors,34,"tobacco.txt, birthday.txt, cornell-english-then-and-now-6.txt"
loves,34,"why-we-love-kenneth-faried.txt, can-we-forgive-anthony-trollope.txt, six-leggedness.txt"
described,34,"my-onion-heart.txt, marcia-davenport-isobel-lennart.txt, bringing-ourselves-up-to-date-on-the-subject-of-abkhazian-consonants.txt"
walked,34,"barefoot-to-palestine.txt, colloquial-conversation-in-othello.txt, suicides.txt"
Bernhard,34,"birthday.txt, cornell-english-then-and-now.txt, cornelll-then-and-now-3-c.txt"
shared,34,"can-we-forgive-anthony-trollope.txt, colloquial-conversation-in-othello.txt, reading-obituaries.txt"
scenes,34,"advice-for-parents-part-one.txt, birthday.txt, shakespeare-exploits-the-oxymoron.txt"
hundreds,34,"colloquial-conversation-in-othello.txt, more-dialogue-transcribed-exactly-from-real-life.txt, disasters-consoling.txt"
winds,33,"birthday.txt, cornell-english-then-and-now-3b.txt, cornell-english-then-and-now.txt"
largest,33,"barefoot-to-palestine.txt, birthday.txt, cornell-english-then-and-now.txt"
thousands,33,"birthday.txt, universe.txt, sleeping-in-my-life.txt"
descendants,33,"can-we-forgive-anthony-trollope.txt, disasters-consoling.txt, kazin-walker-in-the-city.txt"
strikes,33,"morpheus-sleep-lamb.txt, cornell-english-then-and-now-5.txt, my-baseball-first-vocabulary.txt"
inhabitants,33,"paula-fox.txt, mary-antin.txt, bottom.txt"
so-called,33,"another-pearlman-gosse-xmas.txt, winter-love.txt, fortress-of-solitude-.txt"
expertise,33,"birthday.txt, reading-obituaries.txt, cornell-english-then-and-now.txt"
Affairs,33,"ex-wife-divorcee-ursula-lindesay-parrott.txt, adelle-waldman-love-affairs-of-nathaniel-p.txt, what-i-read-2022.txt"
actors,33,"amnesia.txt, a-new-much-ado-2012.txt, morpheus-sleep-lamb.txt"
kinds,32,"bergmans-the-seventh-seal.txt, amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt, colloquial-conversation-in-othello.txt"
falls,32,"amnesia-on-film-private-life-of-sherlock-holmes.txt, toibin-brooklyn-auster-follies.txt, amnesia-on-film-the-right-of-way-1931.txt"
ramps,32,"my-life-in-cooking.txt, words-of-my-life-an-index.txt, words-of-my-life-joint.txt"
workers,32,"airline-seats.txt, trullo.txt, welders-philosophers.txt"
novelists,32,"birthday.txt, fortress-of-solitude-.txt, cornell-english-then-and-now-5.txt"
carries,32,"boulder-mall-dogs-music.txt, ex-wife-divorcee-ursula-lindesay-parrott.txt, poor.txt"
inherited,32,"tyrannosaurus-ted-williams-mongols-anemoia-.txt, east-side-west-side.txt, new-old-books.txt"
areas,32,"birthday.txt, reading-obituaries.txt, cornell-english-then-and-now.txt"
Arnie,32,polite_conversa.txt
practices,32,"birthday.txt, markwayne-mullins-1.txt, cornell-english-then-and-now.txt"
refers,32,"colloquial-conversation-in-othello.txt, more-words-new-to-me.txt, cornell-entlish-then-and-now.txt"
Starokostiantyniv,31,"starokonstantinov.txt, words-of-my-life-joint.htm, roux-rue.htm"
bears,31,"large-mammal-news-.txt, another-pearlman-gosse-xmas.txt, cornell-english-caruth.txt"
Austen,31,"jane-austens-emma-harriet-smiths-ancestry.txt, books-i-read-2023.txt, boobs.txt"
notes,31,"boulder-mall-dogs-music.txt, cornell-english-then-and-now-6.txt, mary-antin.txt"
marriages,31,"markwayne-mullins-1.txt, ukraine-shtetl.txt, emma-straub-modern-lovers-cortelyou-road.txt"
shoes,31,"boulder-mall-dogs-music.txt, state-of-the-person.txt, joseph-green-genealogy.txt"
